key,label,label2,suggested_label,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
crack_curve_BL-to-UR|11x11|16,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3636,0.7636,0.7818,0.3485,0.5102,0.5694,0.8788,0.2424,0.5273,0.6,0.1667,1,0.5667,1,0.0303,1,2,3,11,11,0.5207,0.5372,-0.4,-0.4333,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|17,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3939,0.7273,0.7455,0.3788,0.5306,0.5556,0.8485,0.2424,0.5455,0.5667,0.25,0.96,0.5333,1,0.0303,1,2.7273,5,11,11,0.4876,0.5537,-0.3333,-0.3667,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|18,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3939,0.7818,0.7455,0.4242,0.551,0.5833,0.8485,0.2727,0.5818,0.5333,0.2778,1,0.6,1,0.0145,1,2.4545,5,11,11,0.5372,0.5702,-0.3879,-0.3212,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|19,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5785,0.4091,0.7818,0.8182,0.3788,0.551,0.5972,0.9091,0.2727,0.5636,0.6667,0.1944,1,0.6,1,0,1,2.2727,3,11,11,0.5372,0.5207,-0.3727,-0.4394,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|20,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3485,0.7636,0.7273,0.3788,0.4898,0.5694,0.8182,0.2727,0.5273,0.5,0.2222,1,0.5667,1,0.0923,0.8308,2.4545,5,11,11,0.438,0.5702,-0.4152,-0.3485,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|21,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3939,0.7818,0.7636,0.4091,0.5918,0.5556,0.8182,0.3333,0.5636,0.5667,0.25,1,0.6,1,0.029,0.971,2.3636,3,11,11,0.4545,0.5702,-0.3879,-0.3545,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|22,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3636,0.8182,0.7636,0.4091,0.5714,0.5694,0.8485,0.2424,0.6,0.5667,0.1944,1,0.6667,1,0,1,2.3636,5,11,11,0.4711,0.5537,-0.4545,-0.3545,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|23,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.3788,0.7818,0.8,0.3636,0.551,0.5694,0.8485,0.2121,0.6,0.6333,0.1667,1,0.6,1,0.0441,0.7794,2.5455,5,11,11,0.5537,0.5207,-0.403,-0.4364,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|24,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3636,0.7636,0.7455,0.3788,0.551,0.5417,0.8485,0.2424,0.5455,0.5333,0.2222,1,0.5667,1,0.0152,1,2.4545,5,11,11,0.4876,0.5537,-0.4,-0.3667,1,0.8182,1,1,0.9091
crack_curve_BL-to-UR|11x11|25,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3788,0.7636,0.7818,0.3636,0.551,0.5556,0.8485,0.2121,0.5818,0.6,0.1944,1,0.5667,1,0.0597,0.791,2.3636,4,11,11,0.5372,0.5041,-0.3848,-0.4182,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|26,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3485,0.7636,0.7818,0.3333,0.5102,0.5556,0.8485,0.1818,0.5636,0.6,0.1389,1,0.5667,1,0.0154,0.7846,2.3636,3,11,11,0.5041,0.4876,-0.4152,-0.4485,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|27,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.4242,0.7455,0.7818,0.3939,0.551,0.5833,0.9091,0.2424,0.5636,0.6333,0.25,0.96,0.5667,1,0.0145,1,2.5455,5,11,11,0.5372,0.5207,-0.3212,-0.3879,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|28,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3333,0.7818,0.7273,0.3788,0.449,0.5972,0.8485,0.303,0.4909,0.5333,0.1667,0.96,0.6333,1,0.0615,0.7692,2.3636,5,11,11,0.5041,0.6033,-0.4485,-0.3485,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|29,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3939,0.7818,0.7636,0.4091,0.5918,0.5556,0.8182,0.2424,0.6182,0.5667,0.25,1,0.6,1,0.0145,1,2.8182,5,11,11,0.5041,0.5372,-0.3879,-0.3545,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|30,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3788,0.7636,0.7818,0.3636,0.4898,0.5972,0.8485,0.2727,0.5455,0.6,0.1944,1,0.5667,1,0.0299,0.7612,2.4545,5,11,11,0.5207,0.5537,-0.3848,-0.4182,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|31,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3636,0.7818,0.7818,0.3636,0.5102,0.5833,0.8485,0.2727,0.5455,0.6,0.1667,1,0.6,1,0.0149,1,2.9091,5,11,11,0.4876,0.5702,-0.4182,-0.4182,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|32,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3788,0.7455,0.7636,0.3636,0.5102,0.5694,0.8788,0.2424,0.5273,0.5667,0.2222,1,0.5333,1,0.0152,0.7727,2.3636,3,11,11,0.5372,0.5207,-0.3667,-0.4,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|33,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.4091,0.7636,0.7273,0.4394,0.551,0.5833,0.8182,0.303,0.5818,0.5333,0.3056,0.96,0.6,1,0.029,0.7246,3,5,11,11,0.4876,0.5868,-0.3545,-0.2879,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|34,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3636,0.7455,0.7818,0.3333,0.4898,0.5694,0.8485,0.2424,0.5273,0.6,0.1667,1,0.5333,1,0.0154,0.7231,2.0909,3,11,11,0.5702,0.5372,-0.3818,-0.4485,0.9,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|35,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3485,0.7636,0.7273,0.3788,0.5102,0.5556,0.8182,0.2121,0.5636,0.5,0.2222,1,0.5667,1,0.0154,0.7692,2.3636,3,11,11,0.4711,0.5702,-0.4152,-0.3485,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|36,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3939,0.7455,0.7636,0.3788,0.5306,0.5694,0.8485,0.2424,0.5636,0.6,0.2222,0.96,0.5667,1,0.0149,0.7463,2.4545,5,11,11,0.5372,0.5041,-0.3515,-0.3848,1,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|37,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3636,0.7818,0.7273,0.4091,0.5102,0.5833,0.8182,0.2727,0.5636,0.5,0.25,1,0.6,1,0.0448,0.7463,2.1818,4,11,11,0.4711,0.6033,-0.4182,-0.3182,0.8889,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|38,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3485,0.7636,0.7455,0.3636,0.5102,0.5556,0.8485,0.2121,0.5455,0.5333,0.1944,1,0.5667,1,0.0154,0.9538,2.5455,5,11,11,0.5041,0.5702,-0.4152,-0.3818,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|39,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5124,0.3333,0.7273,0.7273,0.3333,0.4898,0.5278,0.7879,0.1515,0.5636,0.5,0.1944,1,0.5,1,0.0645,0.7903,2.4545,5,11,11,0.5207,0.5041,-0.3939,-0.3939,1,0.8182,1,1,0.9091
crack_curve_BL-to-UR|11x11|40,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.3788,0.7818,0.7455,0.4091,0.551,0.5694,0.8182,0.2727,0.5818,0.5333,0.25,1,0.6,1,0.0147,1,2.5455,5,11,11,0.4711,0.5702,-0.403,-0.3364,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|41,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.595,0.4242,0.8,0.7818,0.4394,0.5714,0.6111,0.8485,0.3333,0.6,0.6,0.2778,1,0.6333,1,0.0139,1,2.4545,5,11,11,0.5207,0.5868,-0.3758,-0.3424,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|42,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.595,0.4697,0.7455,0.8364,0.3939,0.6122,0.5833,0.8788,0.2121,0.6545,0.7,0.2778,1,0.5333,1,0.0278,1,3,5,11,11,0.6033,0.5041,-0.2758,-0.4424,1,0.8182,1,1,0.9091
crack_curve_BL-to-UR|11x11|43,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3333,0.8,0.7273,0.3939,0.5306,0.5556,0.7879,0.2727,0.5636,0.5,0.1944,1,0.6333,1,0.0303,0.9848,2.4545,5,11,11,0.4545,0.6198,-0.4667,-0.3333,0.9,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|44,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.4091,0.7455,0.7818,0.3788,0.551,0.5694,0.8788,0.2121,0.5818,0.6,0.25,1,0.5333,1,0,1,2.1818,3,11,11,0.5537,0.5207,-0.3364,-0.403,0.9,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|45,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3636,0.7636,0.7273,0.3939,0.5306,0.5556,0.7879,0.303,0.5455,0.5333,0.2222,0.96,0.6,1,0.0606,0.9848,2.5455,5,11,11,0.4711,0.5868,-0.4,-0.3333,0.8889,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|46,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5868,0.4242,0.7818,0.8,0.4091,0.6122,0.5694,0.8485,0.2424,0.6364,0.6333,0.25,1,0.6,1,0.0282,1,2.7273,5,11,11,0.5702,0.5207,-0.3576,-0.3909,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|47,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3939,0.7818,0.8,0.3788,0.5306,0.5972,0.8788,0.2121,0.6,0.6333,0.1944,1,0.6,1,0.058,0.9565,2.5455,5,11,11,0.5702,0.4876,-0.3879,-0.4212,0.8889,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|48,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3636,0.7818,0.7455,0.3939,0.4898,0.5972,0.8182,0.303,0.5455,0.5333,0.2222,1,0.6,1,0.0299,0.9104,2.0909,4,11,11,0.4711,0.6033,-0.4182,-0.3515,1,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|49,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5785,0.3939,0.8,0.7818,0.4091,0.5918,0.5694,0.8485,0.2424,0.6182,0.6,0.2222,1,0.6333,1,0,1,2.3636,5,11,11,0.5537,0.5868,-0.4061,-0.3727,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|18x6|50,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.4444,0.6667,0.8148,0.2963,0.575,0.5441,0.9444,0.1944,0.5278,0.6667,0.2222,0.963,0.3704,1,0.0167,0.9833,1.6111,3,18,6,0.5926,0.3704,-0.2222,-0.5185,0.8824,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|51,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5463,0.4074,0.6852,0.8333,0.2593,0.5,0.5735,0.9167,0.1667,0.5556,0.7037,0.1111,0.963,0.4074,1,0.0678,0.9492,1.7222,3,18,6,0.6852,0.3889,-0.2778,-0.5741,0.9412,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|52,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.537,0.3519,0.7222,0.8148,0.2593,0.475,0.5735,0.8611,0.1944,0.5556,0.6296,0.0741,1,0.4444,1,0.0517,0.9828,1.5556,3,18,6,0.5926,0.4074,-0.3704,-0.5556,0.875,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|53,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.4074,0.7037,0.8148,0.2963,0.525,0.5735,0.8889,0.1944,0.5833,0.7037,0.1111,0.9259,0.4815,1,0.05,1,1.6667,3,18,6,0.5185,0.3704,-0.2963,-0.5185,0.8235,0.8333,0.3333,1,1
crack_curve_BL-to-UR|18x6|54,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.4074,0.7037,0.8148,0.2963,0.525,0.5735,0.8889,0.1944,0.5833,0.6667,0.1481,0.963,0.4444,0,0.0167,1,1.6667,3,18,6,0.6296,0.4074,-0.2963,-0.5185,0.6471,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|55,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5833,0.4259,0.7407,0.8519,0.3148,0.575,0.5882,0.8889,0.2222,0.6389,0.7407,0.1111,0.963,0.5185,1,0.0159,1,1.8333,3,18,6,0.6481,0.4259,-0.3148,-0.537,0.875,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|56,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5185,0.3704,0.6667,0.7963,0.2407,0.525,0.5147,0.8611,0.1389,0.5556,0.6296,0.1111,0.963,0.3704,1,0.0357,1,1.6667,3,18,6,0.6296,0.3333,-0.2963,-0.5556,0.7059,0.8333,0.3333,1,1
crack_curve_BL-to-UR|18x6|57,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5093,0.3704,0.6481,0.7778,0.2407,0.45,0.5441,0.8889,0.1389,0.5,0.5926,0.1481,0.963,0.3333,1,0.0364,0.9818,1.8333,3,18,6,0.6111,0.3148,-0.2778,-0.537,0.8824,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|58,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5833,0.463,0.7037,0.8333,0.3333,0.65,0.5441,0.9167,0.1944,0.6389,0.7037,0.2222,0.963,0.4444,1,0,1,1.7222,3,18,6,0.6481,0.4259,-0.2407,-0.5,0.8235,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|59,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5833,0.4444,0.7222,0.8519,0.3148,0.525,0.6176,0.9167,0.25,0.5833,0.7407,0.1481,0.963,0.4815,1,0.0476,0.9683,1.8333,3,18,6,0.6111,0.3889,-0.2778,-0.537,0.9375,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|60,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.537,0.3889,0.6852,0.7963,0.2778,0.525,0.5441,0.8611,0.1667,0.5833,0.6667,0.1111,0.9259,0.4444,1,0.0172,0.9828,1.7222,3,18,6,0.6296,0.4074,-0.2963,-0.5185,0.7059,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|61,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5,0.3519,0.6481,0.7593,0.2407,0.45,0.5294,0.8889,0.1667,0.4444,0.5926,0.1111,0.9259,0.3704,1,0.0185,0.9815,1.4444,3,18,6,0.5926,0.4444,-0.2963,-0.5185,0.7647,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|62,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5185,0.3519,0.6852,0.7593,0.2778,0.55,0.5,0.8611,0.1389,0.5556,0.5556,0.1481,0.963,0.4074,1,0.0357,0.8393,1.2778,3,18,6,0.5926,0.4444,-0.3333,-0.4815,0.875,0.8333,0.3333,0.9444,1
crack_curve_BL-to-UR|18x6|63,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.4259,0.6852,0.8704,0.2407,0.575,0.5441,0.9722,0.1667,0.5278,0.7407,0.1111,1,0.3704,1,0.0667,0.95,1.5,3,18,6,0.6667,0.3333,-0.2593,-0.6296,0.8235,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|64,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.3889,0.7222,0.7963,0.3148,0.5,0.5882,0.8889,0.2222,0.5556,0.6667,0.1111,0.9259,0.5185,1,0.0333,0.9833,1.6667,3,18,6,0.6296,0.4444,-0.3333,-0.4815,0.8125,0.8333,0.3333,1,1
crack_curve_BL-to-UR|18x6|65,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5648,0.4259,0.7037,0.8519,0.2778,0.5,0.6029,0.9167,0.2222,0.5556,0.7037,0.1481,1,0.4074,1,0.0328,0.9836,1.5,3,18,6,0.5741,0.3519,-0.2778,-0.5741,0.8,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|66,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5463,0.4074,0.6852,0.8148,0.2778,0.45,0.6029,0.9167,0.2222,0.5,0.7037,0.1111,0.9259,0.4444,1,0.0678,0.9153,1.6667,3,18,6,0.6481,0.3889,-0.2778,-0.537,0.8235,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|67,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5556,0.4074,0.7037,0.8148,0.2963,0.5,0.5882,0.8889,0.1944,0.5833,0.6667,0.1481,0.963,0.4444,1,0.0167,0.9833,1.7778,3,18,6,0.6296,0.4074,-0.2963,-0.5185,0.9412,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|68,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5463,0.3889,0.7037,0.8333,0.2593,0.5,0.5735,0.9444,0.1944,0.5,0.7037,0.0741,0.963,0.4444,1,0.0508,0.9153,1.7222,3,18,6,0.6481,0.3889,-0.3148,-0.5741,0.9412,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|69,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5648,0.3889,0.7407,0.8148,0.3148,0.475,0.6176,0.8611,0.25,0.5833,0.6667,0.1111,0.963,0.5185,1,0.0492,0.7213,1.6667,3,18,6,0.5741,0.4259,-0.3519,-0.5,0.8,0.8333,0.3333,1,1
crack_curve_BL-to-UR|18x6|70,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5463,0.4074,0.6852,0.8148,0.2778,0.475,0.5882,0.9167,0.1667,0.5556,0.6667,0.1481,0.963,0.4074,1,0.0339,1,1.6111,3,18,6,0.6481,0.3889,-0.2778,-0.537,0.8125,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|71,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5648,0.4259,0.7037,0.8704,0.2593,0.525,0.5882,0.9167,0.1389,0.6389,0.7407,0.1111,1,0.4074,1,0.0492,0.9508,1.6667,3,18,6,0.6481,0.3519,-0.2778,-0.6111,0.7647,0.6667,0.3333,1,1
crack_curve_BL-to-UR|18x6|72,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5648,0.4074,0.7222,0.7963,0.3333,0.55,0.5735,0.8889,0.2222,0.5833,0.6296,0.1852,0.963,0.4815,1,0.0656,0.7869,1.7222,3,18,6,0.5741,0.4259,-0.3148,-0.463,0.7647,0.8333,0.3333,0.9444,1
crack_curve_BL-to-UR|18x6|73,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5185,0.3704,0.6667,0.7963,0.2407,0.475,0.5441,0.8889,0.1667,0.5,0.6667,0.0741,0.9259,0.4074,1,0.0714,0.9286,1.5556,3,18,6,0.5926,0.3704,-0.2963,-0.5556,0.8235,0.8333,0.3333,1,1
crack_curve_BL-to-UR|18x6|74,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,18,6,0.5833,0.3704,0.7963,0.7963,0.3704,0.575,0.5882,0.8889,0.25,0.6111,0.6296,0.1111,0.963,0.6296,1,0.0317,0.9683,1.8333,3,18,6,0.5741,0.4259,-0.4259,-0.4259,0.8235,0.6667,0.3333,1,1
