key,label,label2,suggested_label,visual_id,instance,plist,die_id,vmin_found,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
25ww24p3_shmoo_cwf_core_chk_f6.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|scn_c_dkt_f6_chkcore_sEs_edt_awt_core1_3mclk_tatpg_list|0,red,,red,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,scn_c_dkt_f6_chkcore_sEs_edt_awt_core1_3mclk_tatpg_list,,Vmin Found: 1.000V,21,11,0.9827,0.9669,1,1,0.9683,1,0.974,1,0.9365,1,1,0.9394,1,1,0,0,1,0.0952,1,21,11,0.9654,0.9654,-0.0331,-0.0317,1,0,0.5238,1,1
rep_shmoo_D6MK205300071.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|reset_Mscn_hvm400RPT8x_Cdie_global_scan|0,mixed,,mixed,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,reset_Mscn_hvm400RPT8x_Cdie_global_scan,,Vmin Found: 0.510V,51,11,0.098,0,0.2,0.098,0.098,0,0.1478,0.098,0.098,0.098,0,0,0.2,0.2,0,0,1,0,0,51,11,0.8039,1,-0.2,0,1,0,0.2157,0.098,1
scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list_ecads.txt|NO_VID|SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT|scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list|0,clean,,clean,,SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT,scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list,,Vmin Found: 0.500V,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,1,0,0.7273,0,0
scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list_shmoohub.txt|NO_VID|STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT|scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list|0,clean,,clean,,STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT,scn600_imh_hrytatpg_ssn_edt_group50_x_trans_ph1_x_normal_main_list,,Vmin Found: 0.500V,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,1,0,0.7273,0,0
scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list_ecads.txt|NO_VID|SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT|scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list|0,diagonal,,diagonal,,SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT,scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list,,Vmin Found (High): 0.600V,10,7,0.2714,0,0.5278,0.3333,0.225,0.1,0.4,0.35,0.2,0.2667,0,0,0.6667,0.45,1,0,1,0.2,1,10,7,0.4571,0.8857,-0.5278,-0.1083,1,0.5714,0.7,0.4,1
scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list_repetition_ecads.txt|NO_VID|SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT|scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list|0,diagonal,,diagonal,,SCN_UNCORE::STUCKAT_X_SHMOO_E_BEGIN_N_CFCIO_X_X_FLOAT,scn600_imh_hrytatpg_ssn_edt_group8_x_trans_ph1_x_normal_main_list,,Vmin Found (High): 0.650V,10,8,0.2875,0,0.575,0.35,0.225,0.125,0.3571,0.4,0.2,0.275,0,0,0.7,0.45,1,0,1,0.2,1,10,8,0.425,0.875,-0.575,-0.125,1,0.625,0.8,0.4,1
sort_841_0_-2_scn_imh_group14_edt_trans_stack_ph4_crossratio_shmoo.txt|NO_VID|STUCKAT_X_SHMOO_E_BEGIN_N_CFCMEM_X_X_FLOAT|scn_imh_begin_ssn_group14_edt_trans_stack_ph4_debug_main_list|0,floor,,floor,,STUCKAT_X_SHMOO_E_BEGIN_N_CFCMEM_X_X_FLOAT,scn_imh_begin_ssn_group14_edt_trans_stack_ph4_debug_main_list,,Vmin Found (High): 0.740V,22,9,0.5556,0.3131,0.798,0.2727,0.7818,0.5667,0.5507,0.2273,0.9091,0.5303,0,0.5636,0.5455,1,0,0,1,0.8636,1,22,9,0.5152,0.4949,-0.4848,0.5091,1,0,0.4091,1,1
sort_841_0_-2_scn_imh_group14_edt_trans_stack_ph6_crossratio_shmoo.txt|NO_VID|STUCKAT_X_SHMOO_E_BEGIN_N_CFCMEM_X_X_FLOAT|scn_imh_begin_ssn_group14_edt_trans_stack_ph6_debug_main_list|0,floor,,floor,,STUCKAT_X_SHMOO_E_BEGIN_N_CFCMEM_X_X_FLOAT,scn_imh_begin_ssn_group14_edt_trans_stack_ph6_debug_main_list,,Vmin Found (High): 0.700V,22,9,0.4848,0.202,0.7677,0.25,0.6727,0.4333,0.5072,0.2121,0.7879,0.4545,0,0.3636,0.5,0.9818,0,0.0104,1,0.7727,1,22,9,0.4343,0.5758,-0.5657,0.4227,1,0,0.4091,0.9091,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911|scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,floor,speed_limit,floor,D6HH377700208,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911,scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.750V,36,11,0.4268,0,0.8535,0.4056,0.4444,0.3413,0.4667,0.3981,0.463,0.4222,0,0,0.8111,0.8889,0,0,1,0.1111,2,36,11,0.1465,0.9596,-0.8535,0.0389,1,0.0909,0.3056,0.4722,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6HH377700208|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911|scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,diagonal,speed_limit,diagonal,D6HH377700208,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911,scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.730V,26,9,0.5085,0.0342,0.9829,0.5096,0.5077,0.5,0.5122,0.5256,0.4872,0.5128,0.0385,0.0308,0.9808,0.9846,1,0.0084,1,0.3462,4,26,9,0.0513,0.9573,-0.9487,-0.0019,1,0.3333,0.3462,0.5769,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.txt|D6HH377700208|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911|scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,floor,speed_limit,floor,D6HH377700208,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911,scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.750V,36,11,0.4268,0,0.8535,0.4056,0.4444,0.3413,0.4667,0.3981,0.463,0.4222,0,0,0.8111,0.8889,0,0,1,0.1111,2,36,11,0.1465,0.9596,-0.8535,0.0389,1,0.0909,0.3056,0.4722,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.txt|D6HH377700208|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911|scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,diagonal,speed_limit,diagonal,D6HH377700208,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911,scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.730V,26,9,0.5085,0.0342,0.9829,0.5096,0.5077,0.5,0.5122,0.5256,0.4872,0.5128,0.0385,0.0308,0.9808,0.9846,1,0.0084,1,0.3462,4,26,9,0.0513,0.9573,-0.9487,-0.0019,1,0.3333,0.3462,0.5769,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911|scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,mixed,speed_limit,mixed,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911,scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.710V,36,11,0.3333,0,0.6667,0.3278,0.338,0.1746,0.4074,0.3241,0.3519,0.3278,0,0,0.6556,0.6759,0,0,1,0.3056,6,36,11,0.3333,0.9798,-0.6667,0.0102,1,0,0.3056,0.3611,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.itf|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911|scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,diagonal,speckled,diagonal,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911,scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.680V,26,9,0.3162,0.0085,0.6239,0.3365,0.3,0.2,0.3659,0.3205,0.2821,0.3462,0.0192,0,0.6538,0.6,1,0.0541,0.9865,0.6154,4,26,9,0.3675,0.9402,-0.6154,-0.0365,1,0.8889,0.3462,0.4615,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.txt|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911|scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,mixed,speed_limit,mixed,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_RATIO_SHMOO_7911,scn_c_ddrd_f1_chkddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.710V,36,11,0.3333,0,0.6667,0.3278,0.338,0.1746,0.4074,0.3241,0.3519,0.3278,0,0,0.6556,0.6759,0,0,1,0.3056,6,36,11,0.3333,0.9798,-0.6667,0.0102,1,0,0.3056,0.3611,1
J609109MV_5261_chk_2_20260227025451_QAHOT_shmoo.txt|D6911LW000133|TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911|scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list|0,diagonal,speckled,diagonal,D6911LW000133,TATPG_DDRMC_VMIN_K_LTTC_STF_DDRD_VMIN_F1_COMP_IE_I2TD_7911,scn_c_ddrd_f1_lttcddrd_sEs_edt_ddrmc_tatpg_ph1_list,,Vmin Found: 0.680V,26,9,0.3162,0.0085,0.6239,0.3365,0.3,0.2,0.3659,0.3205,0.2821,0.3462,0.0192,0,0.6538,0.6,1,0.0541,0.9865,0.6154,4,26,9,0.3675,0.9402,-0.6154,-0.0365,1,0.8889,0.3462,0.4615,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,mixed,,mixed,D5KY222800060,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.530V,21,9,0.672,0.3737,1,0.5833,0.7429,0.8,0.6194,0.5714,0.8095,0.6349,0.2045,0.5091,1,1,0,0,1,0.3333,1,21,9,0.3439,0.8307,-0.6263,0.1595,1,0,0.4286,0.8571,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5KY222800060|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,floor,,floor,D5KY222800060,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.6151,0.2652,1,0.5,0.7302,0.6364,0.6075,0.5,0.7857,0.5595,0.0455,0.4848,1,1,0,0,1,0.5238,4,21,12,0.254,0.7698,-0.7348,0.2302,1,0.0833,0.5714,0.8571,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,floor,,floor,D63U4E2300008,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.530V,21,9,0.6349,0.3232,0.9778,0.4881,0.7524,0.7636,0.5821,0.4603,0.8095,0.6349,0.0682,0.5273,0.95,1,0,0,1,0.4762,1,21,9,0.3333,0.7354,-0.6545,0.2643,1,0,0.4286,0.8571,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D63U4E2300008|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,floor,,floor,D63U4E2300008,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.520V,21,12,0.5437,0.2576,0.8583,0.3413,0.746,0.5758,0.5323,0.2857,0.8095,0.5357,0,0.5152,0.7167,1,0,0,1,0.7143,1,21,12,0.4048,0.5952,-0.6008,0.4048,1,0,0.5714,0.9048,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|0,mixed,,mixed,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.560V,21,9,0.7249,0.4747,1,0.6548,0.781,0.9455,0.6343,0.6349,0.7937,0.746,0.3409,0.5818,1,1,0,0,1,0.2381,1,21,9,0.4497,0.8836,-0.5253,0.1262,1,0,0.4286,0.8095,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|0,mixed,,mixed,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.560V,21,12,0.7103,0.447,1,0.627,0.7937,0.9091,0.6398,0.5952,0.8095,0.7262,0.2879,0.6061,1,1,0,0.0056,1,0.381,3,21,12,0.4206,0.8333,-0.553,0.1667,1,0,0.5714,0.8571,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF|scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list|1,mixed,,mixed,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_CHKCOREF1_STF_CORE_VMIN_F1_COMP_IE_PRF,scn_c_dkt_f1_chkcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_list,,Vmin Found: 0.550V,21,9,0.6772,0.3838,1,0.5952,0.7429,0.8545,0.6045,0.5873,0.7619,0.6825,0.2273,0.5091,1,1,0,0.0078,1,0.3333,3,21,9,0.3545,0.8624,-0.6162,0.1476,1,0,0.4286,0.8095,1
J615046MV_5261_chk_1_20260406201304_QAHOT.itf|D5FW211500015|TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF|scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list|1,mixed,,mixed,D5FW211500015,TATPG_DKTCOREFUSA_VMIN_K_END_STF_CORE_VMIN_F1_COMP_IE_R5_PRF,scn_c_dkt_x_endcore_sEs_edt_awt_core0_3mclk_tatpg_exbypdfrftop_stf200_list,,Vmin Found: 0.550V,21,12,0.6944,0.4167,1,0.6111,0.7778,0.8333,0.6452,0.5952,0.7976,0.6905,0.2576,0.5758,1,1,0,0.0114,1,0.619,5,21,12,0.3889,0.8333,-0.5833,0.1667,1,0.0833,0.5714,0.8571,1
